wingLength,wingWidth,bodyWidth,bodyLength,paperWeight,directionOfFold,time
55,30,30,50,light,against,11.8
55,30,10,110,heavy,against,8.29
55,30,10,110,light,with,9
55,30,30,50,heavy,with,7.21
55,50,70,110,heavy,with,6.65
55,50,50,50,light,with,10.26
55,50,50,50,heavy,against,7.98
55,50,70,110,light,against,8.06
115,30,10,50,heavy,with,9.2
115,30,30,110,light,with,19.35
115,30,30,110,heavy,against,12.08
115,30,10,50,light,against,20.5
115,50,50,110,light,against,13.58
115,50,70,50,heavy,against,7.47
115,50,70,50,light,with,9.79
115,50,50,110,heavy,with,9.2
85,40,40,80,light,against,10.52
85,40,40,80,light,against,10.81
85,40,40,80,light,against,10.89
85,40,40,80,heavy,against,15.91
85,40,40,80,heavy,against,16.08
85,40,40,80,heavy,against,13.88
85,40,40,60,light,against,12.99
95,36.1,32.2,60,light,against,15.22
105,32.2,24.4,60,light,against,16.34
115,28.3,26.6,60,light,against,18.78
125,24.4,18.8,60,light,against,17.39
135,20.5,11,60,light,against,7.24
105,24.4,18.8,60,light,against,13.65
125,24.4,18.8,60,light,against,13.74
105,32.2,34.4,60,light,against,15.48
125,32.2,34.4,60,light,against,13.53
115,28.3,26.6,60,light,against,17.38
115,28.3,26.6,60,light,against,16.35
115,28.3,26.6,60,light,against,16.41
100.8,28.3,26.6,60,light,against,12.51
129.1,28.3,26.6,60,light,against,15.17
115,22.8,15.6,60,light,against,14.86
115,33.8,37.6,60,light,against,11.85
111.8,29.4,28.8,60,light,against,15.54
111.8,29.4,28.8,60,light,against,16.4
111.8,29.4,28.8,60,light,against,19.67
111.8,29.4,28.8,60,light,against,19.41
111.8,29.4,28.8,60,light,against,18.55
111.8,29.4,28.8,60,light,against,17.29
